,question.questionId,question.title,question.isPaidOnly,question.difficulty,like ratio
1234,1352,Maximum Profit in Job Scheduling,False,Hard,0.9894493900428618
1142,1250,Longest Common Subsequence,False,Medium,0.9888607594936709
71,72,Edit Distance,False,Hard,0.9883500063315183
967,1008,Binary Tree Cameras,False,Hard,0.9870841487279843
207,208,Implement Trie (Prefix Tree),False,Medium,0.9870091085560699
225,226,Invert Binary Tree,False,Easy,0.9868070531523532
1003,1046,Max Consecutive Ones III,False,Medium,0.9865492785522133
63,64,Minimum Path Sum,False,Medium,0.9864494738359522
41,42,Trapping Rain Water,False,Hard,0.9859365994236311
991,1034,Subarrays with K Different Integers,False,Hard,0.9858657243816255
83,84,Largest Rectangle in Histogram,False,Hard,0.9854193273733504
336,337,House Robber III,False,Medium,0.9848808545603944
415,416,Partition Equal Subset Sum,False,Medium,0.9844123016430276
77,78,Subsets,False,Medium,0.9843980602993886
582,583,Delete Operation for Two Strings,False,Medium,0.9841329807329052
285,286,Walls and Gates,True,Medium,0.9839500668747213
105,106,Construct Binary Tree from Inorder and Postorder Traversal,False,Medium,0.9836715651971075
1276,1402,Count Square Submatrices with All Ones,False,Medium,0.9835651074589128
84,85,Maximal Rectangle,False,Hard,0.9835319949811794
631,632,Smallest Range Covering Elements from K Lists,False,Hard,0.9834630350194552
894,931,Maximum Frequency Stack,False,Hard,0.9833597464342314
205,206,Reverse Linked List,False,Easy,0.9833047558884577
1007,1050,Construct Binary Search Tree from Preorder Traversal,False,Medium,0.9832272990167727
982,1025,Minimum Cost For Tickets,False,Medium,0.9831814996496145
328,329,Longest Increasing Path in a Matrix,False,Hard,0.9830946698488464
239,240,Search a 2D Matrix II,False,Medium,0.9828875467356917
365,366,Find Leaves of Binary Tree,True,Medium,0.9828054298642533
212,213,House Robber II,False,Medium,0.9824422963109094
945,983,Validate Stack Sequences,False,Medium,0.9823045267489712
45,46,Permutations,False,Medium,0.9817161853313942
294,295,Find Median from Data Stream,False,Hard,0.981706379707917
103,104,Maximum Depth of Binary Tree,False,Easy,0.9816193224973416
1248,1371,Minimum Remove to Make Valid Parentheses,False,Medium,0.9813714902807775
1208,1320,Remove All Adjacent Duplicates in String II,False,Medium,0.9809145129224652
1091,1170,Shortest Common Supersequence ,False,Hard,0.9807881773399014
46,47,Permutations II,False,Medium,0.9807815502882767
128,129,Sum Root to Leaf Numbers,False,Medium,0.9807355516637478
229,230,Kth Smallest Element in a BST,False,Medium,0.9806763285024155
299,300,Longest Increasing Subsequence,False,Medium,0.9806543639119194
252,253,Meeting Rooms II,True,Medium,0.9804548017289983
870,902,Minimum Number of Refueling Stops,False,Hard,0.9804248229904207
101,102,Binary Tree Level Order Traversal,False,Medium,0.980318039624609
517,518,Coin Change 2,False,Medium,0.9797959183673469
985,1028,Interval List Intersections,False,Medium,0.9797130133597229
1364,1482,How Many Numbers Are Smaller Than the Current Number,False,Easy,0.9796954314720813
173,174,Dungeon Game,False,Hard,0.9796282149223325
862,893,All Nodes Distance K in Binary Tree,False,Medium,0.9795573576617672
220,221,Maximal Square,False,Medium,0.9794717197817973
122,123,Best Time to Buy and Sell Stock III,False,Hard,0.9794557577941971
1093,1184,Car Pooling,False,Medium,0.9789368104312939
826,854,Making A Large Island,False,Hard,0.9788213627992634
